Date,Year,Quarter,Year_Quarter,Month_Num,Month_Name,Year_Month,Week_Num,Day,Weekday,Is_Weekend
2014-09-13,2014,Q3,2014-Q3,9,September,2014-09,37,13,Saturday,1
2014-09-14,2014,Q3,2014-Q3,9,September,2014-09,37,14,Sunday,1
2014-09-15,2014,Q3,2014-Q3,9,September,2014-09,38,15,Monday,0
2014-09-16,2014,Q3,2014-Q3,9,September,2014-09,38,16,Tuesday,0
2014-09-17,2014,Q3,2014-Q3,9,September,2014-09,38,17,Wednesday,0
2014-09-18,2014,Q3,2014-Q3,9,September,2014-09,38,18,Thursday,0
2014-09-19,2014,Q3,2014-Q3,9,September,2014-09,38,19,Friday,0
2014-09-20,2014,Q3,2014-Q3,9,September,2014-09,38,20,Saturday,1
2014-09-21,2014,Q3,2014-Q3,9,September,2014-09,38,21,Sunday,1
2014-09-22,2014,Q3,2014-Q3,9,September,2014-09,39,22,Monday,0
2014-09-23,2014,Q3,2014-Q3,9,September,2014-09,39,23,Tuesday,0
2014-09-24,2014,Q3,2014-Q3,9,September,2014-09,39,24,Wednesday,0
2014-09-25,2014,Q3,2014-Q3,9,September,2014-09,39,25,Thursday,0
2014-09-26,2014,Q3,2014-Q3,9,September,2014-09,39,26,Friday,0
2014-09-27,2014,Q3,2014-Q3,9,September,2014-09,39,27,Saturday,1
2014-09-28,2014,Q3,2014-Q3,9,September,2014-09,39,28,Sunday,1
2014-09-29,2014,Q3,2014-Q3,9,September,2014-09,40,29,Monday,0
2014-09-30,2014,Q3,2014-Q3,9,September,2014-09,40,30,Tuesday,0
2014-10-01,2014,Q4,2014-Q4,10,October,2014-10,40,1,Wednesday,0
2014-10-02,2014,Q4,2014-Q4,10,October,2014-10,40,2,Thursday,0
2014-10-03,2014,Q4,2014-Q4,10,October,2014-10,40,3,Friday,0
2014-10-04,2014,Q4,2014-Q4,10,October,2014-10,40,4,Saturday,1
2014-10-05,2014,Q4,2014-Q4,10,October,2014-10,40,5,Sunday,1
2014-10-06,2014,Q4,2014-Q4,10,October,2014-10,41,6,Monday,0
2014-10-07,2014,Q4,2014-Q4,10,October,2014-10,41,7,Tuesday,0
2014-10-08,2014,Q4,2014-Q4,10,October,2014-10,41,8,Wednesday,0
2014-10-09,2014,Q4,2014-Q4,10,October,2014-10,41,9,Thursday,0
2014-10-10,2014,Q4,2014-Q4,10,October,2014-10,41,10,Friday,0
2014-10-11,2014,Q4,2014-Q4,10,October,2014-10,41,11,Saturday,1
2014-10-12,2014,Q4,2014-Q4,10,October,2014-10,41,12,Sunday,1
2014-10-13,2014,Q4,2014-Q4,10,October,2014-10,42,13,Monday,0
2014-10-14,2014,Q4,2014-Q4,10,October,2014-10,42,14,Tuesday,0
2014-10-15,2014,Q4,2014-Q4,10,October,2014-10,42,15,Wednesday,0
2014-10-16,2014,Q4,2014-Q4,10,October,2014-10,42,16,Thursday,0
2014-10-17,2014,Q4,2014-Q4,10,October,2014-10,42,17,Friday,0
2014-10-18,2014,Q4,2014-Q4,10,October,2014-10,42,18,Saturday,1
2014-10-19,2014,Q4,2014-Q4,10,October,2014-10,42,19,Sunday,1
2014-10-20,2014,Q4,2014-Q4,10,October,2014-10,43,20,Monday,0
2014-10-21,2014,Q4,2014-Q4,10,October,2014-10,43,21,Tuesday,0
2014-10-22,2014,Q4,2014-Q4,10,October,2014-10,43,22,Wednesday,0
2014-10-23,2014,Q4,2014-Q4,10,October,2014-10,43,23,Thursday,0
2014-10-24,2014,Q4,2014-Q4,10,October,2014-10,43,24,Friday,0
2014-10-25,2014,Q4,2014-Q4,10,October,2014-10,43,25,Saturday,1
2014-10-26,2014,Q4,2014-Q4,10,October,2014-10,43,26,Sunday,1
2014-10-27,2014,Q4,2014-Q4,10,October,2014-10,44,27,Monday,0
2014-10-28,2014,Q4,2014-Q4,10,October,2014-10,44,28,Tuesday,0
2014-10-29,2014,Q4,2014-Q4,10,October,2014-10,44,29,Wednesday,0
2014-10-30,2014,Q4,2014-Q4,10,October,2014-10,44,30,Thursday,0
2014-10-31,2014,Q4,2014-Q4,10,October,2014-10,44,31,Friday,0
2014-11-01,2014,Q4,2014-Q4,11,November,2014-11,44,1,Saturday,1
2014-11-02,2014,Q4,2014-Q4,11,November,2014-11,44,2,Sunday,1
2014-11-03,2014,Q4,2014-Q4,11,November,2014-11,45,3,Monday,0
2014-11-04,2014,Q4,2014-Q4,11,November,2014-11,45,4,Tuesday,0
2014-11-05,2014,Q4,2014-Q4,11,November,2014-11,45,5,Wednesday,0
2014-11-06,2014,Q4,2014-Q4,11,November,2014-11,45,6,Thursday,0
2014-11-07,2014,Q4,2014-Q4,11,November,2014-11,45,7,Friday,0
2014-11-08,2014,Q4,2014-Q4,11,November,2014-11,45,8,Saturday,1
2014-11-09,2014,Q4,2014-Q4,11,November,2014-11,45,9,Sunday,1
2014-11-10,2014,Q4,2014-Q4,11,November,2014-11,46,10,Monday,0
2014-11-11,2014,Q4,2014-Q4,11,November,2014-11,46,11,Tuesday,0
2014-11-12,2014,Q4,2014-Q4,11,November,2014-11,46,12,Wednesday,0
2014-11-13,2014,Q4,2014-Q4,11,November,2014-11,46,13,Thursday,0
2014-11-14,2014,Q4,2014-Q4,11,November,2014-11,46,14,Friday,0
2014-11-15,2014,Q4,2014-Q4,11,November,2014-11,46,15,Saturday,1
2014-11-16,2014,Q4,2014-Q4,11,November,2014-11,46,16,Sunday,1
2014-11-17,2014,Q4,2014-Q4,11,November,2014-11,47,17,Monday,0
2014-11-18,2014,Q4,2014-Q4,11,November,2014-11,47,18,Tuesday,0
2014-11-19,2014,Q4,2014-Q4,11,November,2014-11,47,19,Wednesday,0
2014-11-20,2014,Q4,2014-Q4,11,November,2014-11,47,20,Thursday,0
2014-11-21,2014,Q4,2014-Q4,11,November,2014-11,47,21,Friday,0
2014-11-22,2014,Q4,2014-Q4,11,November,2014-11,47,22,Saturday,1
2014-11-23,2014,Q4,2014-Q4,11,November,2014-11,47,23,Sunday,1
2014-11-24,2014,Q4,2014-Q4,11,November,2014-11,48,24,Monday,0
2014-11-25,2014,Q4,2014-Q4,11,November,2014-11,48,25,Tuesday,0
2014-11-26,2014,Q4,2014-Q4,11,November,2014-11,48,26,Wednesday,0
2014-11-27,2014,Q4,2014-Q4,11,November,2014-11,48,27,Thursday,0
2014-11-28,2014,Q4,2014-Q4,11,November,2014-11,48,28,Friday,0
